DataSource,RecordType,ReferenceYear,Location_State_UT,Location_Region,Location_District,Location_Block_Mandal_Taluk_Valley_Unit,Category,Parameter,Value_Numeric,Value_Text,Unit
NCDGWR2023.pdf,National_GWR_Summary,2023,India,NotAvailable,NotAvailable,NotAvailable,NotAvailable,Total Annual Ground Water Recharge,449.08,NotAvailable,bcm
NCDGWR2023.pdf,National_GWR_Summary,2023,India,NotAvailable,NotAvailable,NotAvailable,NotAvailable,Annual Extractable Ground Water Resources,407.21,NotAvailable,bcm
NCDGWR2023.pdf,National_GWR_Summary,2023,India,NotAvailable,NotAvailable,NotAvailable,NotAvailable,Annual Ground Water Extraction,241.34,NotAvailable,bcm
NCDGWR2023.pdf,National_GWR_Summary,2023,India,NotAvailable,NotAvailable,NotAvailable,NotAvailable,Stage of Ground Water Extraction,59.26,NotAvailable,%
NCDGWR2023.pdf,National_AssessmentUnit_Categorization_Summary,2023,India,NotAvailable,NotAvailable,NotAvailable,Safe,Number of Assessment Units,4793.0,NotAvailable,Count
NCDGWR2023.pdf,National_AssessmentUnit_Categorization_Summary,2023,India,NotAvailable,NotAvailable,NotAvailable,Safe,Percentage of Assessment Units,73.0,NotAvailable,%
NCDGWR2023.pdf,National_AssessmentUnit_Categorization_Summary,2023,India,NotAvailable,NotAvailable,NotAvailable,Safe,Recharge worthy Area,16.3,NotAvailable,lakh sq. km
NCDGWR2023.pdf,National_AssessmentUnit_Categorization_Summary,2023,India,NotAvailable,NotAvailable,NotAvailable,Safe,Recharge worthy Area Percentage,66.15,NotAvailable,%
NCDGWR2023.pdf,National_AssessmentUnit_Categorization_Summary,2023,India,NotAvailable,NotAvailable,NotAvailable,Safe,Annual Extractable Ground Water Resource,301.8,NotAvailable,bcm
NCDGWR2023.pdf,National_AssessmentUnit_Categorization_Summary,2023,India,NotAvailable,NotAvailable,NotAvailable,Safe,Annual Extractable Ground Water Resource Percentage,74.11,NotAvailable,%
NCDGWR2023.pdf,National_AssessmentUnit_Categorization_Summary,2023,India,NotAvailable,NotAvailable,NotAvailable,Semi Critical,Number of Assessment Units,698.0,NotAvailable,Count
NCDGWR2023.pdf,National_AssessmentUnit_Categorization_Summary,2023,India,NotAvailable,NotAvailable,NotAvailable,Semi Critical,Percentage of Assessment Units,11.0,NotAvailable,%
NCDGWR2023.pdf,National_AssessmentUnit_Categorization_Summary,2023,India,NotAvailable,NotAvailable,NotAvailable,Semi Critical,Recharge worthy Area,2.92,NotAvailable,lakh sq. km
NCDGWR2023.pdf,National_AssessmentUnit_Categorization_Summary,2023,India,NotAvailable,NotAvailable,NotAvailable,Semi Critical,Recharge worthy Area Percentage,11.85,NotAvailable,%
NCDGWR2023.pdf,National_AssessmentUnit_Categorization_Summary,2023,India,NotAvailable,NotAvailable,NotAvailable,Semi Critical,Annual Extractable Ground Water Resource,47.37,NotAvailable,bcm
NCDGWR2023.pdf,National_AssessmentUnit_Categorization_Summary,2023,India,NotAvailable,NotAvailable,NotAvailable,Semi Critical,Annual Extractable Ground Water Resource Percentage,11.63,NotAvailable,%
NCDGWR2023.pdf,National_AssessmentUnit_Categorization_Summary,2023,India,NotAvailable,NotAvailable,NotAvailable,Critical,Number of Assessment Units,199.0,NotAvailable,Count
NCDGWR2023.pdf,National_AssessmentUnit_Categorization_Summary,2023,India,NotAvailable,NotAvailable,NotAvailable,Critical,Percentage of Assessment Units,3.0,NotAvailable,%
